Cruise	Station	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Sea pressure [decibar]	QV:ARGO	Practical salinity [psu]	QV:ARGO	Sea temperature [degree_Celsius]	QV:ARGO
					6	1	35.752	1	14.561	1
					738	1	35.65	1	10.599	1
					1213	1	35.709	1	8.744	1
					465	1	35.557	1	11.389	1
					563	1	35.537	1	10.977	1
					1863	1	35.009	1	4.131	1
					165	1	35.714	1	12.923	1
					225	1	35.674	1	12.562	1
					95	1	35.808	1	13.845	1
					10	1	35.752	1	14.564	1
					15	1	35.752	1	14.564	1
					1188	1	35.758	1	9.033	1
					963	1	35.886	1	10.388	1
					863	1	35.835	1	10.61	1
					1513	1	35.214	1	5.615	1
					156	1	35.72	1	12.985	1
					888	1	35.87	1	10.631	1
					235	1	35.666	1	12.485	1
					1813	1	35.012	1	4.211	1
					45	1	35.748	1	14.551	1
					1613	1	35.096	1	4.86	1
					1963	1	34.986	1	3.923	1
					638	1	35.571	1	10.866	1
					1113	1	35.822	1	9.537	1
					325	1	35.618	1	12.01	1
					9	1	35.752	1	14.564	1
					1563	1	35.139	1	5.143	1
					1363	1	35.482	1	7.219	1
					145	1	35.758	1	13.195	1
					206	1	35.681	1	12.635	1
					613	1	35.545	1	10.842	1
					76	1	35.757	1	14.487	1
					1888	1	35.006	1	4.097	1
					486	1	35.539	1	11.252	1
					1289	1	35.572	1	7.838	1
					355	1	35.606	1	11.876	1
					688	1	35.617	1	10.76	1
					475	1	35.548	1	11.317	1
					1689	1	35.043	1	4.482	1
					1763	1	35.023	1	4.315	1
					2008	1	34.965	1	3.762	1
6901567	42669154	2016-01-04T22:44:00Z	-14.914	42.469	1	1	35.809	3	14.666	1
					0	1	35.811	3	14.663	3
					3	1	35.808	3	14.67	1
					2	1	35.809	3	14.669	1
					5	1	35.807	3	14.675	1
					4	1	35.811	3	14.669	1
6900701	42662381	2016-01-01T19:56:00Z	-10.412	40.612	1	1	35.076	3	15.894	1
					0	1	35.08	3	15.888	3
					3	1	35.072	3	15.899	1
					2	1	35.074	3	15.898	1
					5	1	35.07	3	15.899	1
					4	1	35.073	3	15.899	1
6900701	42662380	2016-01-01T19:56:00Z	-10.412	40.612	1788	1	34.311	3	4.893	1
					215	1	34.869	3	12.613	1
					1263	1	35.233	3	10.376	1
					763	1	35.097	3	11.613	1
					663	1	34.956	3	11.452	1
					135	1	35.043	3	13.762	1
					1913	1	34.236	3	4.315	1
					26	1	35.069	3	15.904	1
					20	1	35.07	3	15.903	1
					1838	1	34.283	3	4.688	1
					938	1	35.209	3	11.317	1
					8	1	35.07	3	15.9	1
					813	1	35.167	3	11.621	1
					285	1	34.821	3	12.104	1
					1463	1	34.886	3	8.354	1
					1313	1	35.179	3	10.01	1
					713	1	35.035	3	11.568	1
					125	1	35.039	3	13.933	1
					265	1	34.833	3	12.211	1
					17	1	35.07	3	15.903	1
					1063	1	35.281	3	11.092	1
					16	1	35.07	3	15.903	1
					1388	1	35.06	3	9.343	1
					413	1	34.81	3	11.832	1
					1413	1	35.005	3	9.034	1
					1663	1	34.406	3	5.518	1
					539	1	34.827	3	11.432	1
					988	1	35.195	3	11.025	1
					56	1	35.071	3	15.908	1
					313	1	34.817	3	12.051	1
					196	1	34.904	3	12.892	1
					1088	1	35.305	3	11.113	1
					115	1	35.031	3	14.159	1
